Gene	RoastRankScore	PooledTopTagRankScore	ExpressionRankScore	CNVRankScore	RankImpactScore
MARK3	142.000000	141.000000	121.000000	63.000000	467.000000
IPPK	141.000000	28.000000	62.000000	63.000000	294.000000
NTRK1	140.000000	46.000000	6.000000	63.000000	255.000000
NEK4	139.000000	155.000000	63.000000	63.000000	420.000000
ABL1	138.000000	179.000000	88.000000	63.000000	468.000000
ATR	137.000000	66.000000	44.000000	143.000000	390.000000
CDK4	135.000000	30.000000	140.000000	63.000000	368.000000
PRKAA2	134.000000	147.000000	26.000000	63.000000	370.000000
MAP2K1	133.000000	146.000000	132.000000	63.000000	474.000000
PINK1	132.000000	74.000000	101.000000	63.000000	370.000000
DYRK1B	130.000000	81.000000	19.000000	63.000000	293.000000
OXSR1	129.000000	86.000000	105.000000	63.000000	383.000000
MAPK8	128.000000	132.000000	86.000000	63.000000	409.000000
SCYL1	126.000000	126.000000	122.000000	63.000000	437.000000
NRP1	125.000000	79.000000	45.000000	6.000000	255.000000
EPHA3	124.000000	95.000000	7.000000	63.000000	289.000000
PIK3C2B	122.000000	61.000000	24.000000	63.000000	270.000000
TGFB2	121.000000	149.000000	48.000000	63.000000	381.000000
DGKA	120.000000	56.000000	107.000000	63.000000	346.000000
ULK2	119.000000	26.000000	43.000000	143.000000	331.000000
EIF2AK4	118.000000	108.000000	93.000000	63.000000	382.000000
CLK3	117.000000	178.000000	123.000000	63.000000	481.000000
RIOK3	116.000000	11.000000	117.000000	63.000000	307.000000
AURKA	115.000000	125.000000	139.000000	127.000000	506.000000
EPHA10	114.000000	22.000000	10.000000	63.000000	209.000000
EPHA2	113.000000	129.000000	142.000000	63.000000	447.000000
AATK	112.000000	139.000000	8.000000	6.000000	265.000000
FKBP1A	109.000000	169.000000	146.000000	143.000000	567.000000
BAZ1B	108.000000	128.000000	111.000000	127.000000	474.000000
SMG1	107.000000	168.000000	53.000000	63.000000	391.000000
PKLR	106.000000	93.000000	9.000000	63.000000	271.000000
INSR	105.000000	2.000000	13.000000	63.000000	183.000000
MAST3	104.000000	113.000000	33.000000	63.000000	313.000000
CCND1	103.000000	145.000000	124.000000	63.000000	435.000000
ERBB2	102.000000	117.000000	83.000000	63.000000	365.000000
ULK3	101.000000	124.000000	90.000000	63.000000	378.000000
STK25	100.000000	165.000000	135.000000	63.000000	463.000000
JAK1	99.000000	53.000000	115.000000	127.000000	394.000000
CLP1	96.000000	105.000000	67.000000	63.000000	331.000000
MAP3K10	87.000000	104.000000	50.000000	63.000000	304.000000
AK7	85.000000	78.000000	25.000000	63.000000	251.000000
PPIP5K1	84.000000	109.000000	70.000000	143.000000	406.000000
WNK4	83.000000	107.000000	4.000000	63.000000	257.000000
DSTYK	82.000000	67.000000	42.000000	63.000000	254.000000
ADCK4	81.000000	75.000000	76.000000	63.000000	295.000000
MAPKAPK3	79.000000	157.000000	125.000000	63.000000	424.000000
DDR2	78.000000	65.000000	5.000000	63.000000	211.000000
EPHB3	77.000000	114.000000	41.000000	143.000000	375.000000
ABL2	76.000000	130.000000	40.000000	63.000000	309.000000
NAGK	75.000000	92.000000	103.000000	127.000000	397.000000
IGF1R	74.000000	156.000000	64.000000	63.000000	357.000000
MARK1	72.000000	111.000000	57.000000	63.000000	303.000000
PIP5K1C	71.000000	5.000000	52.000000	63.000000	191.000000
STK10	70.000000	70.000000	110.000000	127.000000	377.000000
PRKCZ	69.000000	13.000000	99.000000	63.000000	244.000000
HIPK2	68.000000	131.000000	36.000000	63.000000	298.000000
OBSCN	67.000000	62.000000	17.000000	63.000000	209.000000
MAPK10	66.000000	47.000000	28.000000	6.000000	147.000000
PDK2	65.000000	171.000000	69.000000	63.000000	368.000000
MAPKAPK2	64.000000	80.000000	118.000000	63.000000	325.000000
TTK	63.000000	150.000000	96.000000	6.000000	315.000000
SNRK	62.000000	119.000000	30.000000	63.000000	274.000000
GRK6	60.000000	135.000000	127.000000	127.000000	449.000000
PTK2B	59.000000	32.000000	89.000000	6.000000	186.000000
NRP2	58.000000	122.000000	73.000000	63.000000	316.000000
JAK2	57.000000	6.000000	23.000000	63.000000	149.000000
SRMS	56.000000	25.000000	12.000000	127.000000	220.000000
MYLK4	55.000000	99.000000	3.000000	127.000000	284.000000
GTF2H1	54.000000	31.000000	92.000000	63.000000	240.000000
JAK3	53.000000	154.000000	2.000000	63.000000	272.000000
CHEK2	52.000000	55.000000	116.000000	63.000000	286.000000
TYRO3	51.000000	52.000000	56.000000	63.000000	222.000000
AKAP9	50.000000	20.000000	38.000000	127.000000	235.000000
ALPK3	49.000000	85.000000	1.000000	63.000000	198.000000
DAPK3	48.000000	83.000000	119.000000	63.000000	313.000000
PLK4	46.000000	60.000000	66.000000	6.000000	178.000000
NMRK1	45.000000	38.000000	80.000000	63.000000	226.000000
MAP3K6	44.000000	116.000000	60.000000	63.000000	283.000000
PRKD3	43.000000	101.000000	74.000000	63.000000	281.000000
MAPK1	41.000000	88.000000	114.000000	63.000000	306.000000
PRKD2	40.000000	37.000000	95.000000	63.000000	235.000000
MAP3K1	39.000000	110.000000	29.000000	6.000000	184.000000
ACVR1C	37.000000	45.000000	21.000000	63.000000	166.000000
EFNA3	35.000000	72.000000	58.000000	63.000000	228.000000
RPS6KA4	34.000000	8.000000	112.000000	63.000000	217.000000
DDR1	33.000000	123.000000	143.000000	127.000000	426.000000
IKBKB	32.000000	96.000000	79.000000	63.000000	270.000000
MAK	31.000000	98.000000	15.000000	127.000000	271.000000
RPS6KB1	29.000000	40.000000	72.000000	63.000000	204.000000
PRKCD	28.000000	58.000000	97.000000	63.000000	246.000000
PTK2	27.000000	33.000000	120.000000	63.000000	243.000000
YWHAZ	26.000000	41.000000	145.000000	63.000000	275.000000
MAP2K7	25.000000	42.000000	77.000000	63.000000	207.000000
MAP2K3	24.000000	35.000000	129.000000	63.000000	251.000000
CAMKK2	22.000000	51.000000	94.000000	63.000000	230.000000
BRD2	21.000000	19.000000	134.000000	127.000000	301.000000
RPS6KA1	20.000000	69.000000	126.000000	63.000000	278.000000
MAPK12	19.000000	4.000000	128.000000	127.000000	278.000000
EPHA4	18.000000	50.000000	11.000000	63.000000	142.000000
CHEK1	17.000000	57.000000	104.000000	127.000000	305.000000
PFKFB3	16.000000	9.000000	106.000000	6.000000	137.000000
TEC	15.000000	21.000000	22.000000	63.000000	121.000000
FER	14.000000	27.000000	35.000000	127.000000	203.000000
SHC1	13.000000	36.000000	138.000000	63.000000	250.000000
CSF1R	12.000000	15.000000	18.000000	127.000000	172.000000
PFKL	11.000000	91.000000	133.000000	63.000000	298.000000
PHKG1	10.000000	44.000000	75.000000	127.000000	256.000000
ADK	8.000000	12.000000	137.000000	63.000000	220.000000
CDK7	7.000000	23.000000	136.000000	127.000000	293.000000
BMPR1A	4.000000	1.000000	71.000000	63.000000	139.000000
ROCK2	3.000000	17.000000	65.000000	63.000000	148.000000
CDK9	2.000000	63.000000	102.000000	63.000000	230.000000
NEK11	1.000000	34.000000	20.000000	127.000000	182.000000
